======================================================================
  VCP 扫描器 v3 | 2026-08-17 21:52
  美股池: SP 900 (标普500+400)
  模式: 🔍 标准（趋势模板 + 多段评分）
======================================================================
  🗄️  检测到本地价缓存，跳过联网检测，直接离线扫描。

======================================================================
  【🇺🇸 美股】扫描开始
======================================================================
    读取 S&P 500...
      ✅ S&P 500: 已加载
    读取 S&P 400...
      ✅ S&P 400: 已加载
  ✅ SP 900 共 903 只（去重后）
  前10: MMM, AOS, ABT, ABBV, ACN, ADBE, AMD, AES, AFL, A

📊 扫描 903 只标的...

  📊 获取 SPY 基准...
     SPY 6月涨幅: 20.1%
  💾 检测到本地价缓存，直接离线取数（绕开 Yahoo 匿名限流）

======================================================================

🎯 🇺🇸 美股 发现 170 只 VCP 形态标的：

 VCP分    代码    当前价格  RS评级            收缩%  5日振幅%  缩量比例%   突破挂单价  距突破%  距52周高%   10EMA   21EMA    吊灯止损    硬止损价
    1   FTI   79.81    90 12.5/11.4/13.4   9.27  60.22   80.42  0.76    0.76   75.29   73.57   78.95   73.43
    1   HWM  289.12    75   5.5/8.5/10.9   5.47  38.25  291.38  0.78    6.74  285.27  282.95  304.97  265.99
    1   BNY  164.27    72    4.3/4.5/7.4   4.10  60.56  165.68  0.86    0.85  161.00  158.64  164.09  151.13
    1   MSM  124.60    56    4.3/7.1/9.8   6.80  71.84  125.72  0.90    4.49  122.98  122.97  129.01  114.63
    1  EXPD  188.27    70   4.2/5.7/10.4   7.47  43.45  189.99  0.91    0.91  182.24  178.52  187.08  173.21
    1   UNP  299.90    48    7.5/6.9/9.9   4.29  60.04  302.79  0.96    5.09  295.33  293.38  312.44  275.91
    1   STT  193.04    79    5.6/6.1/6.1   4.94  44.14  195.18  1.11    1.10  188.60  185.60  192.94  177.60
    1   FHN   26.02    18    4.7/3.7/6.5   4.38  32.78   26.33  1.17    2.03   25.84   25.72   26.28   23.94
    1    RS  428.02    65  19.6/7.7/12.4   2.94  46.76  433.02  1.17    1.15  422.22  413.82  426.98  393.78
    1    KO   86.98    28    6.3/5.5/6.3   2.74  66.00   88.01  1.18    4.33   86.91   86.04   89.77   80.02
    1   ELS   64.89     6    5.8/5.3/6.3   3.53  61.15   65.72  1.28    5.96   64.94   64.97   67.29   59.70
    1  NVDA  225.01    24 14.2/11.3/11.4   5.42  60.21  227.92  1.29    4.87  219.76  214.34  223.61  207.01
    1  NOVT  168.75    51 12.7/10.8/14.5   4.96  60.50  170.93  1.29    4.33  163.07  157.96  171.78  155.25
    1  SBRA   20.31     6   7.0/4.9/13.2   4.41  41.04   20.58  1.33   10.80   20.51   20.63   22.42   18.69
    1  ZION   71.58    45    4.4/4.5/7.6   3.10  63.75   72.58  1.40    2.40   71.26   70.71   72.56   65.85
    1   VLY   14.94    65    7.1/4.5/7.8   3.63  67.42   15.15  1.41    1.71   14.81   14.70   15.02   13.74
    1   CNO   54.81    59    4.7/4.5/5.8   2.47  51.93   55.60  1.44    4.83   54.81   54.27   56.91   50.43
    1   HXL  103.10    75  14.9/7.0/11.4   4.31  56.56  104.60  1.45    7.73  103.05  103.13  110.29   94.85
    1    GD  391.14    26    7.1/5.1/6.5   2.04  38.91  396.96  1.49    2.21  390.87  385.60  395.60  359.85
    1  LIVN   81.48    66  6.3/11.7/12.9   9.27  59.51   82.70  1.50    4.99   80.41   80.20   84.50   74.96
    1   FAF   73.18    13   7.3/4.6/10.7   4.12  32.46   74.29  1.52    8.38   73.63   73.36   78.60   67.33
    1   HWC   78.84    33    5.4/4.4/5.8   3.45  65.67   80.13  1.64    1.61   78.48   77.60   79.37   72.53
    1     C  138.51    61   7.9/9.2/12.2   4.09  46.40  140.87  1.70    6.39  136.82  135.83  139.27  127.43
    1    MS  218.21    64  6.1/10.3/10.7   3.97  42.51  222.00  1.74    6.05  216.46  215.84  219.83  200.75
    1  DLTR  129.54    15  13.0/8.0/12.3   3.75  63.93  131.86  1.79    9.03  128.97  127.43  131.39  119.18
    1  FITB   57.60    46    5.4/5.0/7.6   2.95  59.27   58.63  1.79    3.19   57.59   57.31   58.48   52.99
    1   NUE  272.68    83   6.8/7.3/20.8   5.51  46.51  277.60  1.80    2.65  269.33  261.97  274.42  250.87
    1   DLR  197.91    21  12.7/5.7/10.8   5.99  42.77  201.56  1.84    4.91  195.12  191.74  203.34  182.08
    1  RVTY  116.17    32    8.8/7.0/8.2   3.23  37.63  118.34  1.87    1.83  115.68  113.99  116.53  106.88
    1   DRI  225.50     8   6.4/8.9/12.9   6.58  72.68  229.76  1.89    1.85  218.93  213.01  225.35  207.46
    1   GEV 1079.00    78 21.8/14.0/21.3   9.86  57.33 1099.66  1.91    9.78 1034.27 1026.68 1113.34  992.68
    1   MET   96.68    25    6.1/3.7/4.0   2.38  48.04   98.58  1.97    4.21   96.96   95.80   99.84   88.95
    1   KMI   32.33    23   11.5/5.5/6.4   5.28  71.89   32.97  2.00    7.12   31.93   31.91   32.97   29.74
    1    EG  365.15     9   12.3/4.8/9.2   3.29  44.09  372.50  2.01    8.96  369.31  370.81  396.47  335.94
