======================================================================
  VCP 扫描器 v3 | 2026-08-25 21:54
  美股池: SP 900 (标普500+400)
  模式: 🔍 标准（趋势模板 + 多段评分）
======================================================================
  🗄️  检测到本地价缓存，跳过联网检测，直接离线扫描。

======================================================================
  【🇺🇸 美股】扫描开始
======================================================================
    读取 S&P 500...
      ✅ S&P 500: 已加载
    读取 S&P 400...
      ✅ S&P 400: 已加载
  ✅ SP 900 共 903 只（去重后）
  前10: MMM, AOS, ABT, ABBV, ACN, ADBE, AMD, AES, AFL, A

📊 扫描 903 只标的...

  📊 获取 SPY 基准...
     SPY 6月涨幅: 18.7%
  💾 检测到本地价缓存，直接离线取数（绕开 Yahoo 匿名限流）

======================================================================

🎯 🇺🇸 美股 发现 111 只 VCP 形态标的：

 VCP分   代码    当前价格  RS评级            收缩%  5日振幅%  缩量比例%   突破挂单价  距突破%  距52周高%   10EMA   21EMA    吊灯止损   硬止损价
    1   PM  193.92    25   7.5/7.3/11.3   3.99  51.97  194.26  0.18    6.66  190.09  189.30  205.06 178.41
    1  FHI   65.39    33    9.5/6.3/7.8   4.02  64.35   65.52  0.20    2.69   63.98   62.91   66.14  60.16
    1 SBRA   20.82    13   7.0/4.9/13.2   3.04  51.16   20.88  0.26    8.56   20.54   20.58   22.42  19.15
    1  PCG   18.36    35    3.9/5.2/8.5   5.44  69.49   18.41  0.27    4.18   17.83   17.65   18.26  16.89
    1  STT  192.95    82    6.1/6.1/6.3   5.77  53.26  193.51  0.29    1.14  189.00  187.01  192.94 177.51
    1 VRSN  293.75    14   9.0/9.8/10.5   8.74  73.12  294.79  0.35    5.99  284.69  283.31  299.38 270.25
    1  SCI   84.45    10   14.2/8.2/9.5   2.96  51.50   84.77  0.38    7.19   83.71   83.18   90.01  77.69
    1 ABBV  265.79    45    6.6/7.1/9.8   2.86  52.61  266.97  0.44    0.63  259.80  255.87  264.48 244.53
    1 KRYS  356.19    95  9.7/15.0/19.5   6.84  45.74  357.91  0.48    6.89  341.22  339.57  360.82 327.69
    1 EXPD  189.05    77   4.2/5.7/10.4   2.69  49.15  189.99  0.50    0.49  185.99  182.39  187.08 173.93
    1   EG  375.39    18   12.3/4.8/9.2   4.18  51.01  377.74  0.63    6.40  370.96  370.88  396.47 345.36
    1 WELL  241.15    67   4.5/4.5/11.8   3.62  54.68  242.78  0.68    5.51  237.58  236.61  251.76 221.86
    1 AVNT   44.62    32   11.1/6.9/7.5   4.24  68.99   44.95  0.74    4.33   44.18   42.69   45.38  41.05
    1  CDP   37.55    52    4.7/4.9/6.9   3.67  58.53   37.83  0.75    3.47   37.21   37.15   38.60  34.55
    1  TRV  369.66    59    7.3/6.9/7.3   3.84  55.25  372.65  0.81    7.28  368.77  368.52  394.18 340.09
    1 INCY  129.72    75  12.9/7.1/12.7   4.98  63.77  130.80  0.83    2.17  125.85  123.18  130.69 119.34
    1   KO   91.64    55    6.3/5.5/6.3   4.40  67.04   92.49  0.93    0.92   89.80   88.15   91.35  84.31
    1 BALL   64.08    34   9.7/6.3/10.0   4.71  49.42   64.68  0.94    6.16   63.17   62.98   66.78  58.95
    1 ACGL  100.56    17   10.7/6.8/9.5   3.65  56.07  101.58  1.01    6.10   99.56   99.53  105.94  92.52
    1  BMY   67.92    67    7.6/3.6/7.5   5.39  64.58   68.64  1.06    1.05   66.19   64.84   67.91  62.49
    1  AIZ  285.15    55    5.9/4.4/9.7   5.15  70.65  288.50  1.17    6.18  283.67  282.46  300.58 262.34
    1  ATR  134.72     2    6.1/6.4/7.2   4.16  59.23  136.34  1.20    8.30  133.81  133.16  138.43 123.94
    1  RGA  244.46    44    5.3/4.4/4.7   3.41  62.77  247.39  1.20    2.61  244.01  241.78  248.89 224.90
    1  JNJ  273.14    75    5.8/8.9/8.9   3.55  51.22  276.47  1.22    1.20  268.22  264.16  273.51 251.29
    1 INVH   30.21     3    4.6/4.5/4.6   2.46  67.78   30.59  1.27    3.57   30.16   30.09   30.72  27.79
    1 CTVA   83.05    20   8.4/5.4/18.1   7.40  68.81   84.20  1.38    8.71   80.13   80.29   89.10  76.41
    1  MET   95.87    30    3.7/4.0/5.3   4.10  57.69   97.20  1.39    5.01   95.82   95.58  100.07  88.20
    1  XYZ   82.72     9   7.7/9.9/11.0   5.90  56.60   83.95  1.49    4.65   81.26   80.75   85.67  76.10
    1  EIX   74.78    58   4.4/4.5/18.4   6.72  63.34   75.90  1.50    8.38   72.93   72.96   79.91  68.80
    1  OMC   88.20    21 10.9/10.0/12.5   4.97  51.87   89.57  1.55    1.53   86.99   85.21   88.08  81.14
    1  ASH   73.76    53    9.0/7.2/8.5   4.67  54.51   74.92  1.57    5.74   73.34   72.43   76.82  67.86
    1  JPM  356.69    31    5.4/2.1/4.4   3.62  48.54  363.05  1.78    2.68  356.95  355.21  363.92 328.15
    1  BAX   26.29    12  10.1/9.7/14.2   3.52  56.32   26.78  1.86   12.37   26.46   26.01   29.16  24.19
    1  PHM  130.86     4    6.1/7.4/7.5   5.78  54.10  133.32  1.88    9.44  129.56  129.40  135.06 120.39
    1 ALSN  131.62    70   12.9/5.7/9.5   8.94  73.32  134.14  1.91    4.36  127.97  124.64  131.61 121.09
    1  MSA  187.69    16   10.8/5.0/5.1   2.51  64.52  191.44  2.00   10.16  188.98  186.87  193.79 172.67
    1  ELV  398.87    46  5.8/10.7/16.2   3.35  67.30  406.99  2.04    8.57  397.52  394.95  401.99 366.96
    1  WTS  371.54    52    8.3/6.0/7.4   4.03  44.98  379.18  2.06    5.83  374.52  370.24  386.81 341.82
    1 EQIX 1073.44    60   11.6/5.7/9.4   6.85  70.42 1098.35  2.32    4.89 1069.80 1062.46 1096.99 987.56
    1 TXRH  203.28    26    5.6/4.1/7.5   4.02  73.57  208.00  2.32    6.02  204.66  203.72  214.03 187.02
    1 ANET  190.94    66 17.2/12.6/14.9   6.93  55.15  195.50  2.39   11.15  190.87  188.51  208.29 175.66
    1 PCAR  129.22    47   16.6/5.1/6.8   4.92  42.73  132.43  2.48    7.20  130.00  130.03  137.76 118.88
    1  CSL  363.27     1  6.3/10.7/10.9   6.39  74.88  372.74  2.61   16.09  365.77  364.91  385.00 334.21
    1  SWK   98.46    51   10.8/6.6/7.3   4.35  65.99  101.27  2.85    5.94   99.52   98.43  102.97  90.58
    1  KDP   31.84    15  7.7/11.4/13.5   6.91  44.64   32.78  2.95    5.85   31.39   31.07   32.63  29.29
    1   GM   85.81    68   13.1/4.9/6.3   5.53  68.67   88.36  2.97    6.58   86.31   85.75   90.91  78.95
    1 ARMK   59.08    71    6.0/5.6/6.0   3.91  63.47   61.19  3.57    5.70   59.53   58.87   61.81  54.35
    1 FAST   50.31     5   6.0/6.6/10.1   3.85  53.87   52.15  3.66    4.93   50.92   50.22   52.17  46.29
    1  PKG  246.54    26   12.3/6.0/8.5   4.05  71.10  255.60  3.67    5.17  250.94  249.67  258.08 226.82
    1  AME  241.77    48    4.5/7.4/9.1   6.52  73.54  252.87  4.59    7.42  245.35  245.78  258.07 222.43
    1  EOG  146.83    33   9.7/5.9/10.2   4.76  67.39  153.67  4.66    4.45  147.64  145.16  151.37 135.08
    1  HPE   53.44    94 19.3/14.4/19.1   9.04  58.66   55.94  4.68   16.82   53.99   52.94   61.15  49.16
    1 BMRN   66.12    24    5.3/6.6/8.8   7.59  67.66   69.62  5.29    6.85   66.48   65.08   69.61  60.83
    1 DINO   93.24    91  8.8/14.2/14.6   6.74  50.23   98.39  5.52    5.23   93.16   90.59   96.36  85.78
    1   OC  146.61     2   14.9/8.6/8.9   6.41  57.55  154.99  5.72    8.32  149.40  148.58  156.98 134.88
    1  ITT  205.98    32   9.9/4.5/11.2   7.10  64.45  219.09  6.36   10.57  209.91  207.92  225.52 189.50

  💡 VCP分: 3=3段递减 ✓  2=2段递减  1=仅窄幅整理
======================================================================

======================================================================
  📊 今日 VCP 扫描汇总
  🇺🇸 美股  🎯: 111 只
======================================================================
